"17389976";INTERNATIONAL JOURNAL OF SECURITY AND ITS APPLICATIONS;B2
COGSCI;Annual Meeting of the Cognitive Science Society;A2
"21766649";REVISTA BRASILEIRA DE COMPUTAÇÃO APLICADA;nulo
"01689274";APPLIED NUMERICAL MATHEMATICS;A3
SAM;Sensor Array and Multichannel Signal Processing Workshop;A4
CSEE&T;Conference on Software Engineering Education and Training;A4
"19331681";JOURNAL OF INFORMATION TECHNOLOGY AND POLITICS;A1
"3DOR";Eurographics Workshop on 3D Object Retrieval;B2
AIML;Advances in Modal Logic;B3
"09505849";INFORMATION AND SOFTWARE TECHNOLOGY (IST);A1
MetaSel;International Workshop on Meta-Learning and Algorithm Selection;B4
"19324545";IEEE TRANSACTIONS ON BIOMEDICAL CIRCUITS AND SYSTEMS;A1
ATVA;International Symposium on Automated Technology for Verification and Analysis;A4
ICARCV;International Conference on Control, Automation, Robotics and Vision;B2
"15662535";INFORMATION FUSION (PRINT);A1
ICML;International Conference on Machine Learning;A1
ICANN;International Conference on Artificial Neural Networks;B1
"19725787";JOURNAL OF FORMALIZED REASONING;A1
ISMAR;International Symposium on Mixed and Augmented Reality;A3
"13845810";DATA MINING AND KNOWLEDGE DISCOVERY;A1
HRI;ACM/IEEE International Conference on Human Robot Interaction;A1
"22126716";AASRI PROCEDIA;nulo
"22361170";REVISTA ELETRÔNICA EM GESTÃO, EDUCAÇÃO E TECNOLOGIA AMBIENTAL;nulo
"03043800";ECOLOGICAL MODELLING;A2
SMC;IEEE International Conference on Systems, Man and Cybernetics;A3
"09720871";FAR EAST JOURNAL OF MATHEMATICAL SCIENCES: FJMS;B2
"16799216";ACTA SCIENTIAE VETERINARIAE (ONLINE);B4
"19806604";JOURNAL OF COMMUNICATION AND INFORMATION SYSTEMS (ONLINE);nulo
IOLTS;IEEE International On-Line Testing Symposium;B2
VEM;Workshop on Software Visualization, Evolution and Maintenance;B1
CICLING;International Conference on Intelligent Text Processing and Computational Linguistics;A3
"1206212X";INTERNATIONAL JOURNAL OF COMPUTERS & APPLICATIONS;B2
"02632241";MEASUREMENT (LONDON. PRINT);A1
WIMOB;IEEE International Conference on Wireless and Mobile Computing, Networking and Communications;A3
"00942405";MEDICAL PHYSICS (LANCASTER);A2
"22145796";BIG DATA RESEARCH;A1
"22105379";SUSTAINABLE COMPUTING: INFORMATICS AND SYSTEMS;A2
"18651356";LECTURE NOTES IN BUSINESS INFORMATION PROCESSING;nulo
ENIC;European Network Intelligence Conference;B3
"10547460";PRESENCE (CAMBRIDGE, MASS.);A4
"19398115";JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL, IMAGE, AND VIDEO TECHNOLOGY (ONLINE);A4
BRAHUR;Brazilian Humanoid Robot Workshop;B4
"11355948";PROCESAMIENTO DEL LENGUAJE NATURAL;A2
"1679902X";RBGP. REVISTA BRASILEIRA DE GERENCIAMENTO DE PROJETOS;nulo
"00946354";A.A.N.A. JOURNAL;B1
"08905401";INFORMATION AND COMPUTATION (PRINT);A4
LAWCN;Latin-American Workshop on Computational Neuroscience;B4
"10798587";INTELLIGENT AUTOMATION AND SOFT COMPUTING;B1
ICCAR;International Conference on Control, Automation and Robotics;B2
"18688799";INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING;A4
"1678765X";REVISTA DIGITAL DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO;B2
FOCI;IEEE Symposium on Foundations of Computational Intelligence;B2
CENTERIS;Conference on ENTERprise Information Systems;A4
"15513688";SIGBED REVIEW;B2
"17478405";INTERNATIONAL JOURNAL OF SECURITY AND NETWORKS (PRINT);B1
ACHI-IARIA;IARIA International Conference on Advances in Computer-Human Interactions;B4
GPCE;ACM International Conference on Generative Programming: Concepts and Experiences;B4
AM;Audio Mostly on Interaction With Sound;B3
SCA;ACM SIGGRAPH/Eurographics Symposium on Computer Animation;A3
"07173458";ELECTRONIC JOURNAL OF BIOTECHNOLOGY;A3
SSTD;International Symposium on Spatial and Temporal Databases;A3
"14778394";INTERNATIONAL JOURNAL OF WEB BASED COMMUNITIES (PRINT);A4
COMPLENET;INTERNATIONAL CONFERENCE ON COMPLEX NETWORKS;B4
"19836635";RGO. REVISTA GESTÃO ORGANIZACIONAL (ONLINE);nulo
"19467729";SIGSPATIAL SPECIAL;nulo
"09210296";JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS;A2
"10958592";JOURNAL OF NETWORK AND COMPUTER APPLICATIONS (ONLINE);A1
ISMB/ECCB;Intelligent Systems for Molecular Biology / European Conference on Computational Biology;B3
LATINCOM;IEEE Latin-American Conference on Communications;B2
NIME;International Conference on New Interfaces for Musical Expression;A3
"03630129";SIAM JOURNAL ON CONTROL AND OPTIMIZATION (PRINT);A2
"09587578";TRANSFUSION MEDICINE (PRINT);A4
